项目经理名称,决策状态,回购进程,当前审批人,电池型号,电池SN,回购业务编号,回购决策编号,业务状态,创建时间,更新时间,车辆品牌,车架号,回购来源,所属部门,付款申请编号,付款申请时间,付款申请状态,付款时间,收款方,回购金额,已付款金额,未付款金额,支付方式,付款明细状态,租售决策通过时间,总部套数,付款套数,距离今天天数
马琛超,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBF9KJC06,LDJT-2025-014-YJGM-31249,PPS-202511-2063,已会签,2025-11-26 16:47:08.0,2025-12-01 15:48:43.0,陕重汽,LZGJLM445SX119293,晋城市益骏工贸有限公司,事业二部三组,PREQ-20251209-0033,2025-12-09 10:16:31.0,待执行,,陕西重型汽车有限公司,329400.0,0.0,329400.0,商业承兑汇票,待付款,2025-12-01,1.0,1,228
尚勇磊,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD5PBFC4HF04,LDJT-2026-014-CYSJ-07515,PPS-202604-765,已会签,2026-04-15 10:53:53.0,2026-05-13 21:15:47.0,陕重汽,LZGJLM447TX026244,山西晨阳世佳汽车贸易有限公司,事业二部二组,PREQ-20260514-0105,2026-05-15 14:32:52.0,待执行,,,329400.0,0.0,329400.0,"汇款,商业承兑汇票","待付款,待付款",2026-05-13,1.0,2,65
尚勇磊,审批通过,回购中,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBFBTHF66,LDJT-2026-014-CYSJ-07515,PPS-202604-765,已会签,2026-04-15 10:53:53.0,2026-05-13 21:15:47.0,陕重汽,LZGJLM440TX057979,山西晨阳世佳汽车贸易有限公司,事业二部二组,PREQ-20260514-0105,2026-05-15 14:32:52.0,待执行,,,329400.0,0.0,329400.0,"汇款,商业承兑汇票","待付款,待付款",2026-05-13,1.0,2,65
秦凯琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4VJJ28,LDJT-2026-014-DTSYOQC-15836,PPS-202607-056,已会签,2026-07-01 15:51:50.0,2026-07-07 10:06:51.0,陕重汽,LZGJLM44XTX088835,大同市亚欧汽车销售服务有限公司,事业二部一组,,,-,,,308100.0,,,,,2026-07-07,18.0,18,10
秦凯琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4TJJ17,LDJT-2026-014-DTSYOQC-15836,PPS-202607-056,已会签,2026-07-01 15:51:50.0,2026-07-07 10:06:51.0,陕重汽,LZGJLM449TX088843,大同市亚欧汽车销售服务有限公司,事业二部一组,,,-,,,308100.0,,,,,2026-07-07,18.0,18,10
秦凯琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4TJJ13,LDJT-2026-014-DTSYOQC-15836,PPS-202607-056,已会签,2026-07-01 15:51:50.0,2026-07-07 10:06:51.0,陕重汽,LZGJLM448TX088848,大同市亚欧汽车销售服务有限公司,事业二部一组,,,-,,,308100.0,,,,,2026-07-07,18.0,18,10
秦凯琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4TJJ07,LDJT-2026-014-DTSYOQC-15836,PPS-202607-056,已会签,2026-07-01 15:51:50.0,2026-07-07 10:06:51.0,陕重汽,LZGJLM448TX088834,大同市亚欧汽车销售服务有限公司,事业二部一组,,,-,,,308100.0,,,,,2026-07-07,18.0,18,10
秦凯琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4TJJ06,LDJT-2026-014-DTSYOQC-15836,PPS-202607-056,已会签,2026-07-01 15:51:50.0,2026-07-07 10:06:51.0,陕重汽,LZGJLM447TX088842,大同市亚欧汽车销售服务有限公司,事业二部一组,,,-,,,308100.0,,,,,2026-07-07,18.0,18,10
秦凯琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4TJJ05,LDJT-2026-014-DTSYOQC-15836,PPS-202607-056,已会签,2026-07-01 15:51:50.0,2026-07-07 10:06:51.0,陕重汽,LZGJLM447TX088839,大同市亚欧汽车销售服务有限公司,事业二部一组,,,-,,,308100.0,,,,,2026-07-07,18.0,18,10
秦凯琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AF0PBG4TJJ01,LDJT-2026-014-DTSYOQC-15836,PPS-202607-056,已会签,2026-07-01 15:51:50.0,2026-07-07 10:06:51.0,陕重汽,LZGJLM446TX088847,大同市亚欧汽车销售服务有限公司,事业二部一组,,,-,,,308100.0,,,,,2026-07-07,18.0,18,10
秦凯琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG4VJJ37,LDJT-2026-014-DTSYOQC-15836,PPS-202607-056,已会签,2026-07-01 15:51:50.0,2026-07-07 10:06:51.0,陕重汽,LZGJLM446TX088833,大同市亚欧汽车销售服务有限公司,事业二部一组,,,-,,,308100.0,,,,,2026-07-07,18.0,18,10
秦凯琪,审批通过,未回购,,CTB-400 2.0-LJ-QY电池系统（CTB400 2.0普通功率）,AD0PBG4VJJ32,LDJT-2026-014-DTSYOQC-15836,PPS-202607-056,已会签,2026-07-01 15:51:50.0,2026-07-07 10:06:51.0,陕重汽,LZGJLM445TX088841,大同市亚欧汽车销售服务有限公司,事业二部一组,,,-,,,308100.0,,,,,2026-07-07,18.0,18,10
